t,g
0,-4.449456854
0.15,-4.212500338
0.3,-4.086912168
0.45,-3.958253448
0.6,-2.881162505
0.75,-1.516197323
0.9,-0.68014595
1.05,-0.177100517
1.2,1.118573477
1.35,0.44615688
1.5,0.320134332
1.65,0.342550908
1.8,-0.535494042
1.95,-1.397032043
2.1,-1.859736685
2.25,-2.745103944
2.4,-2.488002665
2.55,-2.782439112
2.7,-2.841948189
2.85,-2.75955687
3,-2.722051195
3.15,-1.545683776
3.3,-1.228319356
3.45,-1.230759993
3.6,-0.540113141
3.75,-0.592703675
3.9,0.215782074
4.05,-0.031060909
4.2,-0.115011378
4.35,-1.175832922
4.5,-0.951259528
4.65,-2.08979662
4.8,-2.18517115
4.95,-2.725035231
5.1,-2.219480806
5.25,-2.45141889
5.4,-1.800646406
5.55,-1.86379778
5.7,-1.792482425
5.85,-1.200554602
6,-0.835991703
6.15,-0.46111166
6.3,-0.958544571
6.45,-0.354479352
6.6,-1.044511886
6.75,-0.476860167
6.9,-1.477006626
7.05,-1.382719845
7.2,-1.948987485
7.35,-1.996719751
7.5,-2.404790592
