x,g
10,206.0162568
20,213.4795786
30,213.8403229
40,227.802522
50,225.6197982
60,178.7024779
70,154.6892911
80,81.70057476
90,-8.290132861
100,-44.3517702
110,-95.36553972
120,-83.44395348
130,-85.20228987
140,-69.12110337
150,-41.58994093
160,-61.22638559
170,-110.0814716
180,-122.2322317
190,-176.5522583
200,-259.8652098
210,-313.825314
220,-369.8081213
230,-373.4277422
240,-402.7449841
250,-355.602077
260,-356.3934396
270,-342.7772839
280,-386.4015738
290,-391.7199628
300,-454.393317
310,-524.6232437
320,-614.1378148
330,-648.8071556
340,-703.8465558
350,-695.5106182
360,-668.7108834
370,-671.599177
380,-682.674601
390,-666.2483273
400,-689.8332274
410,-753.9896633
420,-796.7433458
430,-837.4518064
440,-909.9882962
450,-974.8774748
460,-998.042244
470,-1002.693716
480,-984.0242486
490,-948.3226958
500,-964.1660252
510,-988.8113091
520,-994.1954627
530,-1072.776731
540,-1107.559613
550,-1170.933896
560,-1260.422949
570,-1291.672619
580,-1291.217712
590,-1268.269071
600,-1272.855738
610,-1277.466874
620,-1249.499903
630,-1265.720551
640,-1350.556404
650,-1406.935395
660,-1432.828131
670,-1495.389775
680,-1560.88485
690,-1573.797742
700,-1606.136223
710,-1600.866859
720,-1552.632809
730,-1544.440208
740,-1587.076728
750,-1582.311195
