t,f
0,0.659805301
0.5,-0.415972824
1,-1.093474007
1.5,-1.249873742
2,0.395555473
2.5,1.597684532
3,3.399269869
3.5,3.362888296
4,0.959267282
4.5,-1.844324035
5,-5.044155285
5.5,-4.903557845
6,-1.279140485
6.5,5.424622027
7,11.22472144
7.5,10.60573166
8,3.089113846
8.5,-8.380206751
9,-18.584297
9.5,-17.57421137
10,-4.636727794
10.5,16.70714519
11,34.61943853
11.5,34.08552591
12,9.999537095
12.5,-28.4617782
13,-61.08782039
13.5,-61.18615294
14,-17.08638893
14.5,53.43805698
15,112.0812828
15.5,112.1685705
16,32.51571344
16.5,-96.36121442
17,-201.8196697
17.5,-201.9570412
18,-57.87079944
18.5,176.8096134
19,368.4821508
19.5,366.9361248
20,106.9307101
20.5,-318.9581464
21,-667.3899625
21.5,-665.4839399
22,-192.7005797
22.5,581.542834
23,1214.089857
23.5,1210.65027
24,351.9569967
24.5,-1054.078092
25,-2203.468422
25.5,-2197.234689
26,-636.8994402
26.5,1915.326131
27,4003.513699
27.5,3992.263187
28,1158.068478
28.5,-3477.726226
29,-7269.851302
29.5,-7248.790785
30,-2101.934685
30.5,6317.854301
31,13205.51654
31.5,13166.34932
32,3819.087971
32.5,-11472.95664
33,-23982.027
33.5,-23910.41909
34,-6934.694149
34.5,20838.7478
35,43557.86423
